champion,position,win_rate,tier,core_items,hard_counters
Garen,TOP,52.0,2,"Stridebreaker, Phantom Dancer, Mortal Reminder, Berserker's Greaves, Doran's Shield","Kayle, Quinn, Ryze, K'Sante, Yasuo"
Kayle,TOP,53.0,3,"Nashor's Tooth, Dusk and Dawn, Rabadon's Deathcap, Boots of Swiftness, Doran's Blade","Irelia, Vladimir, Anivia, Sion, Akali"
Malphite,TOP,51.0,3,"Sunfire Aegis, Thornmail, Frozen Heart, Plated Steelcaps, Doran's Ring","Dr. Mundo, Swain, Anivia, Kassadin, Galio"
Ornn,TOP,52.0,3,"Sunfire Aegis, Thornmail, Jak'Sho, The Protean, Plated Steelcaps","Cassiopeia, Singed, Shen, Gnar, Yorick"
Shen,TOP,52.0,3,"Titanic Hydra, Dusk and Dawn, Bandlepipes, Plated Steelcaps, Doran's Shield","Riven, Illaoi, Sett, Qiyana, Aatrox"
Sett,TOP,51.0,3,"Stridebreaker, Overlord's Bloodmail, Sterak's Gage, Plated Steelcaps, Doran's Blade","Cassiopeia, Wukong, Singed, Cho'Gath, Illaoi"
Mordekaiser,TOP,51.0,3,"Rylai's Crystal Scepter, Riftmaker, Liandry's Torment, Plated Steelcaps, Doran's Ring","Cassiopeia, Vayne, Heimerdinger, Illaoi, Camille"
Gangplank,TOP,51.0,3,"Essence Reaver, The Collector, Infinity Edge, Plated Steelcaps, Doran's Blade","Kayle, Zac, Kled, Yasuo, Yone"
Olaf,TOP,52.0,3,"Stridebreaker, Experimental Hexplate, Death's Dance, Plated Steelcaps, Doran's Blade","Vladimir, Zac, Camille, Jayce, Darius"
Vayne,TOP,51.0,2,"Experimental Hexplate, Essence Reaver, Stormrazor, Berserker's Greaves, Doran's Blade","Katarina, Miss Fortune, Yasuo, Malphite, Aurora"
Sion,TOP,51.0,3,"Hollow Radiance, Unending Despair, Jak'Sho, The Protean, Plated Steelcaps","Singed, Swain, Darius, Cho'Gath, Twisted Fate"
Fiora,TOP,51.0,3,"Ravenous Hydra, Trinity Force, Death's Dance, Plated Steelcaps, Doran's Blade","Quinn, Shen, Warwick, Mordekaiser, Yone"
Darius,TOP,50.0,3,"Youmuu's Ghostblade, Dead Man's Plate, Death's Dance, Plated Steelcaps, Doran's Blade","Anivia, Varus, Cassiopeia, Elise, Evelynn"
Singed,TOP,52.0,4,"Liandry's Torment, Rylai's Crystal Scepter, Protoplasm Harness, Boots of Swiftness, Doran's Ring","Master Yi, Warwick, Poppy, Jax, Sion"
Aatrox,TOP,50.0,3,"Spear of Shojin, Voltaic Cyclosword, Serylda's Grudge, Plated Steelcaps, Doran's Shield","Malphite, Heimerdinger, Kayle, Darius, Master Yi"
Irelia,TOP,50.0,3,"Blade of The Ruined King, Hullbreaker, Wit's End, Plated Steelcaps, Doran's Blade","Zac, Jax, Malphite, Nasus, Vex"
Renekton,TOP,50.0,4,"Eclipse, Black Cleaver, Sterak's Gage, Plated Steelcaps, Doran's Blade","Swain, Varus, Teemo, Riven, Yorick"
Tryndamere,TOP,51.0,4,"Ravenous Hydra, Phantom Dancer, Infinity Edge, Berserker's Greaves, Doran's Blade","Udyr, Teemo, Ryze, Ambessa, Jayce"
Camille,TOP,50.0,4,"Trinity Force, Ravenous Hydra, Death's Dance, Plated Steelcaps, Doran's Blade","Maokai, Vladimir, Teemo, Garen, Ambessa"
Jax,TOP,50.0,3,"Trinity Force, Sundered Sky, Zhonya's Hourglass, Plated Steelcaps, Doran's Blade","Quinn, Zac, Cassiopeia, Fiddlesticks, Malphite"
Anivia,TOP,51.0,3,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Liandry's Torment, Boots of Swiftness","Morgana, Aurelion Sol, Vel'Koz, Maokai, LeBlanc"
Nasus,TOP,51.0,3,"Trinity Force, Frozen Heart, Spirit Visage, Ionian Boots of Lucidity, Doran's Shield","Anivia, Wukong, Pantheon, Sejuani, Darius"
Teemo,TOP,51.0,4,"Nashor's Tooth, Liandry's Torment, Malignance, Sorcerer's Shoes, Doran's Ring","Aurora, Cassiopeia, Ornn, Bel'Veth, Rammus"
Urgot,TOP,51.0,4,"Black Cleaver, Sterak's Gage, Jak'Sho, The Protean, Plated Steelcaps","Kayle, Ryze, Kled, Jax, Jayce"
Dr. Mundo,TOP,50.0,4,"Warmog's Armor, Heartsteel, Titanic Hydra, Boots of Swiftness, Doran's Shield","Zac, Gwen, Fiora, Taliyah, Aatrox"
Riven,TOP,51.0,4,"Axiom Arc, Sundered Sky, Death's Dance, Ionian Boots of Lucidity, Doran's Blade","Kennen, Cho'Gath, Pantheon, Shen, Irelia"
Yorick,TOP,50.0,4,"Trinity Force, Spear of Shojin, Serylda's Grudge, Plated Steelcaps, Doran's Shield","Quinn, Ornn, Akali, Jayce, Mordekaiser"
Kled,TOP,52.0,4,"Titanic Hydra, Hullbreaker, Overlord's Bloodmail, Plated Steelcaps, Doran's Blade","Swain, Poppy, Fiora, Jax, Aatrox"
